date,confirmed_cases_per_day,active_cases_per_day,cured_per_day,deaths_per_day,hospital_beds_per_thousand,cases_per_million,deaths_per_million,actives_per_million
2020-10-21,54044,-8448.0,61775.0,717.0,0.53,39.16219440128808,0.5195635664592472,-6.121719678448703
2020-10-22,55839,-24278.0,79415.0,702.0,0.53,40.462914905882705,0.5086940357801835,-17.59269772175398
2020-10-23,54366,-20303.0,73979.0,690.0,0.53,39.39552699319865,0.4999984112369324,-14.712272091802085
2020-10-24,53370,-14829.0,67549.0,650.0,0.53,38.673790156108815,0.4710129960927624,-10.745618029322422
2020-10-25,50129,-12526.0,62077.0,578.0,0.53,36.32524689405244,0.4188392488332564,-9.076782752396834
2020-10-26,45148,-14437.0,59105.0,480.0,0.53,32.715838073224674,0.34782498173003995,-10.461560960909555
2020-10-27,36470,-27860.0,63842.0,488.0,0.53,26.42745225769699,0.3536220647588739,-20.188341647914402
2020-10-28,43893,-15054.0,58439.0,508.0,0.53,31.80642067307634,0.36811477233095896,-10.908660989508377
2020-10-29,49881,-7116.0,56480.0,517.0,0.53,36.14553732015859,0.37463649073839717,-5.156505354147842
2020-10-30,48648,-9301.0,57386.0,563.0,0.53,35.25206189833955,0.4079697181541927,-6.739833656398128
2020-10-31,48268,-11737.0,59454.0,551.0,0.53,34.976700454469935,0.3992740936109417,-8.505045438678081
2020-01-11,46963,-12191.0,58684.0,470.0,0.53,34.031051285391385,0.34057862794399746,-8.83402990056441
2020-02-11,45231,-8550.0,53285.0,496.0,0.53,32.77598280964882,0.35941914778770795,-6.195632487066336
2020-03-11,38310,-20503.0,58323.0,490.0,0.53,27.760781354328813,0.35507133551608244,-14.857199167522936
2020-04-11,46253,-7618.0,53357.0,514.0,0.53,33.516560166582366,0.3724625846025844,-5.520272314207175
2020-05-11,50210,-5825.0,55331.0,704.0,0.53,36.383942359719384,0.5101433065373919,-4.2210010803697555
2020-06-11,47638,-7189.0,54157.0,670.0,0.53,34.520180165949256,0.4855057036648474,-5.209403736785952
2020-07-11,50356,-4141.0,53920.0,577.0,0.53,36.48973912499561,0.4181146134546522,-3.0007151028001986
2020-08-11,45674,-3967.0,49082.0,559.0,0.53,33.09699628237051,0.40507117663977565,-2.8746285469230592
2020-09-11,45903,-2992.0,48405.0,490.0,0.53,33.26293778407088,0.35507133551608244,-2.1681090527839157
2020-10-11,38073,-4408.0,42033.0,448.0,0.53,27.589042769599605,0.32463664961470395,-3.1941927488875335
2020-11-11,44281,-10608.0,54377.0,512.0,0.53,32.08757919997479,0.37101331384537595,-7.686932096233883
2020-12-11,47905,-5363.0,52718.0,550.0,0.53,34.71365781203659,0.39854945823233745,-3.886219535454592
2020-11-13,44879,-4747.0,49079.0,547.0,0.53,32.52091115638013,0.3963755520965247,-3.439844142234374
2020-11-14,44684,-3828.0,47992.0,520.0,0.53,32.3796072575523,0.3768103968742099,-2.7739042292970684
2020-11-15,41100,-1503.0,42156.0,447.0,0.53,29.782514060634668,0.32391201423609967,-1.0891269740421876
2020-11-16,30548,-13738.0,43851.0,435.0,0.53,22.136161545602626,0.3152163896928487,-9.955040831265185
2020-11-17,29163,-12077.0,40791.0,449.0,0.53,21.13254154623574,0.3253612849933082,-8.751421467403526
2020-11-18,38617,-6596.0,44739.0,474.0,0.53,27.983244415560318,0.34347716945841444,-4.779694957273632
2020-11-19,45576,-3502.0,48493.0,585.0,0.53,33.02598201526729,0.4239116964834862,-2.537673095872083
2020-11-20,45882,491.0,44807.0,584.0,0.53,33.247720441120194,0.4231870611048819,0.3557959708946867
2020-11-21,46232,-4047.0,49715.0,564.0,0.53,33.50134282363168,0.40869435353279693,-2.932599377211399
2020-11-22,45209,1215.0,43493.0,501.0,0.53,32.76004083131953,0.36304232468072917,0.8804319850041636
2020-11-23,44059,2524.0,41024.0,511.0,0.53,31.926710145924645,0.37028867846677166,1.8289796955971267
2020-11-24,37975,-4819.0,42314.0,480.0,0.53,27.51802850249639,0.34782498173003995,-3.49201788949388
2020-11-25,44376,6079.0,37816.0,481.0,0.53,32.15641956094219,0.3485496171086442,4.405058466535235
2020-11-26,44489,7598.0,36367.0,524.0,0.53,32.23830335872447,0.3797089383886269,5.50577960663509
2020-11-27,43082,3211.0,39379.0,492.0,0.53,31.21874138102829,0.35652060627329096,2.326804200698246
2020-11-28,41322,-615.0,41452.0,485.0,0.53,29.943383114684814,0.35144815862306117,-0.4456507578416137
2020-11-29,41810,-984.0,42298.0,496.0,0.53,30.297005179443687,0.35941914778770795,-0.7130412125465819
2020-11-30,38772,-7004.0,45333.0,443.0,0.53,28.095562899243976,0.3210134727216827,-5.075346191744166
2020-01-12,31118,-11349.0,41985.0,482.0,0.53,22.54920371140705,0.3492742524872484,-8.223886911779632
2020-02-12,36604,-6959.0,43062.0,501.0,0.53,26.524553398429962,0.36304232468072917,-5.0427375997069745
2020-03-12,35551,-5701.0,40726.0,526.0,0.53,25.761512344759687,0.3811582091458354,-4.1311462934228285
2020-04-12,36595,-6861.0,42916.0,540.0,0.53,26.518031680022524,0.3913031044462949,-4.971723332603759
2020-05-12,36652,-6393.0,42533.0,512.0,0.53,26.559335896602967,0.37101331384537595,-4.632593975416969
2020-06-12,36011,-6441.0,41970.0,482.0,0.53,26.09484461891764,0.3492742524872484,-4.667376473589973
2020-07-12,32981,-6519.0,39109.0,391.0,0.53,23.899199421746765,0.2833324330342617,-4.723898033121105
2020-08-12,26567,-12863.0,39045.0,385.0,0.53,19.251388103379107,0.2789846207626362,-9.320984874986467
2020-09-12,32080,-4957.0,36635.0,402.0,0.53,23.246302945624336,0.2913034221989084,-3.5920175717412666
2020-10-12,31521,-6616.0,37725.0,412.0,0.53,22.84123176898456,0.29854977598495097,-4.794187664845717
2020-11-12,29398,-8544.0,37528.0,414.0,0.53,21.302830860207738,0.29999904674215944,-6.191284674794711
2020-12-12,30006,-3930.0,33494.0,442.0,0.53,21.743409170399122,0.32028883734307845,-2.847817037914702
2020-12-13,30254,-3273.0,33136.0,391.0,0.53,21.923118744292974,0.2833324330342617,-2.3717315941717096
2020-12-14,27071,-3960.0,30695.0,336.0,0.53,19.61660433419565,0.24347748721102797,-2.8695560992728293
2020-12-15,22065,-12766.0,34477.0,354.0,0.53,15.989079628902774,0.25652092402590443,-9.250695243261854
2020-12-17,50392,-17454.0,67104.0,742.0,0.53,36.51582599862536,0.5376794509243534,-12.647785898158578
2020-12-18,22890,-8535.0,31087.0,338.0,0.53,16.58690381625128,0.24492675796823646,-6.184762956387273
2020-12-19,25152,-5080.0,29885.0,347.0,0.53,18.226029042654094,0.2514484763756747,-3.6811477233095893
2020-12-20,26624,-3407.0,29690.0,341.0,0.53,19.29269231995955,0.2471006641040492,-2.4688327349046792
2020-12-21,24337,-1705.0,25709.0,333.0,0.53,17.635451209091627,0.2413035810752152,-1.235503320520246
2020-12-22,19556,-11121.0,30376.0,301.0,0.53,14.17096946398471,0.21811524895987922,-8.058670045457863
2020-12-23,23950,-3278.0,26895.0,333.0,0.53,17.355017317571786,0.2413035810752152,-2.375354771064731
2020-12-24,24712,-5391.0,29791.0,312.0,0.53,17.907189476068222,0.22608623812452597,-3.9065093260555113
2020-12-25,23067,-1930.0,24661.0,336.0,0.53,16.715164278264233,0.24347748721102797,-1.3985462807062023
2020-12-26,22273,-252.0,22274.0,251.0,0.53,16.139803787652458,0.18188348002966673,-0.18260811540827096
2020-12-27,18732,-2977.0,21430.0,279.0,0.53,13.573869912014809,0.2021732706305857,-2.157239522104852
2020-12-28,20021,-1389.0,21131.0,279.0,0.53,14.507924915035687,0.2021732706305857,-1.006518540881303
2020-12-29,16432,-8720.0,24900.0,252.0,0.53,11.907208541225033,0.18260811540827096,-6.318820501429059
2020-12-30,20549,-6309.0,26572.0,286.0,0.53,14.890532394938731,0.20724571828081545,-4.5717246036142125
2020-12-31,21822,-4616.0,26139.0,299.0,0.53,15.81299323190194,0.21666597820267072,-3.3449169076372174
2021-03-01,57291,-10436.0,67030.0,697.0,0.53,41.51508547561608,0.5050708588871622,-7.562294811113952
2021-04-01,16504,-3267.0,19557.0,214.0,0.53,11.959382288484539,0.15507197102130948,-2.3673837819000845
2021-05-01,16375,-12917.0,29091.0,201.0,0.53,11.86590432464459,0.1456517110994542,-9.360115185431095
2021-06-01,18088,-3490.0,21314.0,264.0,0.53,13.107204728193672,0.19130373995152197,-2.528977471328832
2021-07-01,20346,537.0,19587.0,222.0,0.53,14.743431413082067,0.16086905405014348,0.3891291983104822
2021-08-01,18139,-2634.0,20539.0,234.0,0.53,13.144161132502488,0.16956467859339447,-1.908689587243594
2021-09-01,18222,-1259.0,19253.0,228.0,0.53,13.20430586892664,0.16521686632176896,-0.9123159416627505
